halo_ID,M,c,rho0,rs,radius,density,enclosed_mass,velocity_dispersion_sq,luminosity
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.01,443.75207614210984,0.00012047375560627419,0.052945167757540004,0.0
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.010848096388007426,277.9094836372027,0.00014608615234433666,0.07732034691382139,-0.00034617957174935175
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.011768119524349986,262.52755771235945,0.00017697341728112824,0.08072131471141544,-0.0003964141151808815
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.012766169490574075,247.72759764813884,0.0002141814437475017,0.08428199350813613,-0.00045327421667926284
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.01384886371393873,233.50319900884585,0.0002589540893646491,0.08800772308270277,-0.0005174737515341512
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.015023380843318588,219.84725471587612,0.0003127685062429229,0.09190370991691392,-0.0005897673102083348
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.016297508346206444,206.7519761469567,0.00037737630170447104,0.09597498076115835,-0.0006709439790009129
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.017679694142400303,194.20891654534844,0.0004548513888933322,0.10022633176304403,-0.0007618186472268671
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.019179102616724886,182.2089966677211,0.0005476454914250184,0.10466227307046047,-0.0008632204677365736
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.020805675382171703,170.74253258518016,0.0006586523791311563,0.10928696886220948,-0.0009759781009065139
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.022570197196339205,159.79926553776,0.0007912820325334136,0.11410417278948867,-0.0011009014038710684
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.024484367468222266,149.36839372879766,0.0009495460611643773,0.11911715888432518,-0.001238759277613653
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.026560877829466867,139.43860593205133,0.001138155834068214,0.12432864806487653,-0.0013902534510001477
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.028813496284414607,129.99811677135548,0.0013626349181034563,0.1297407303949224,-0.0015559881168895927
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.031257158496882355,121.03470352017699,0.0016294475571834064,0.13535478340021212,-0.0017364354583818181
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.03390806681894053,112.53574425674796,0.001946145074812028,0.141171386774281,-0.001931897310499953
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.03678379771828634,104.48825719965873,0.0023215321828092086,0.14719023392959563,-0.00214246343017195
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.03990341831649379,96.87894103901667,0.002765855356884879,0.1534100409586566,-0.0023679671079628673
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.043287612810830566,89.69421606964005,0.003291015496339585,0.15982845365652473,-0.0026079391706696382
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.04695881961786354,82.92026592538133,0.003910807204079071,0.16644195338645346,-0.002861561754016453
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.0509413801481638,76.54307970766774,0.004641187071706525,0.1732457626924184,-0.003127623560322584
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.0552617001985409,70.54849429681008,0.005500573376397335,0.18023375166054434,-0.0034044786822711517
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.05994842503189409,64.92223663165576,0.006510179566725657,0.1873983461861765,-0.003690011366205792
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.06503262930552246,59.64996574181606,0.007694383836823364,0.19473043938640527,-0.003981609387541615
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.07054802310718641,54.717314317047766,0.009081136896193593,0.20221930754681106,-0.004276148873983893
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.07653117546501334,50.10992960045715,0.01070240984386345,0.20985253207208507,-0.004569993507619876
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.08302175681319744,45.81351339603756,0.012594683654953429,0.21761592902286073,-0.004859010956921504
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.09006280202112786,41.81386098667154,0.014799481346309571,0.22549348789619744,-0.005138609149739251
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.09770099572992251,38.09689876609252,0.017363943272377322,0.233467321376447,-0.0054037945413949896
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.1059869818882502,34.64872039738621,0.02034144524520788,0.24151762781684144,-0.005649253872210477
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.11497569953977356,31.455621321359562,0.023792258244719876,0.24962266823535417,-0.0058694600054810826
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.12472674708860455,28.504131450431355,0.02778424737129072,0.2577587595862536,-0.0060588013295072626
1.0,142340000000000.0,5.398049233627496,1697859.4831099217,120.58272366175501,0.13530477745798067,25.781045897509642,0.032393606393100516,0.2659002860162435,-0.0062117329128364256
