tstep,totaltime,r,rho,u,L
1000,0.0403638,0.0129969;0.0139294;0.0149532;0.0160768;0.0173101;0.0186639;0.0201502;0.0217825;0.0235756;0.0255458;0.027711;0.0300909;0.0327071;0.0355831;0.0387447;0.0422203;0.0460411;0.0502411;0.0548581;0.0599331;0.0655116;0.0716431;0.0783822;0.0857888;0.0939284;0.102873;0.112702;0.123501;0.135365;0.148399;0.162717;0.178443;0.195714;0.214683;0.235512;0.258384;0.283497;0.311069;0.341338;0.374568;0.411045;0.451085;0.495034;0.543273;0.596219;0.654328;0.718103;0.788094;0.864907;0.949205;1.04171;1.14324;1.25464;1.3769;1.51106;1.65828;1.81983;1.99711;2.19163;2.40509;2.6393;2.89629;3.17826;3.48763;3.82705;4.19941;4.60787;5.05588;5.5472;6.08589;6.67634;7.32328;8.0317;8.80691;9.65449;10.5804;11.5909;12.693;13.8947;15.205;16.634;18.1932;19.8953;21.7542;23.7851;26.0047;28.431;31.0837;33.9841;37.1558;40.6251;44.4192;48.5671;53.1028;58.0649;63.5126;69.6142;77.0189;91.1163;100,487.544;358.499;344.188;329.039;313.188;296.793;280.027;263.064;246.082;229.248;212.714;196.617;181.068;166.159;151.958;138.514;125.858;114.006;102.96;92.7122;83.2466;74.5396;66.562;59.2803;52.6577;46.6554;41.2334;36.3513;31.9688;28.0465;24.5463;21.4315;18.6673;16.2209;14.0614;12.1602;10.4907;9.02851;7.75109;6.63798;5.67052;4.83183;4.10665;3.48125;2.94333;2.48189;2.08712;1.75031;1.46374;1.22061;1.01492;0.841408;0.695467;0.573082;0.470758;0.385468;0.314596;0.255885;0.207402;0.167488;0.134733;0.107934;0.0860742;0.0682957;0.053877;0.0422144;0.0328054;0.0252343;0.0191601;0.0143064;0.0104522;0.00742348;0.00508476;0.00332819;0.00206184;0.00119851;0.000649667;0.000327657;0.000154088;6.79777e-05;2.83747e-05;1.13126e-05;4.34685e-06;1.62238e-06;5.91888e-07;2.12099e-07;7.49228e-08;2.61576e-08;9.04252e-09;3.09924e-09;1.05379e-09;3.55834e-10;1.1938e-10;3.97905e-11;1.31784e-11;4.32793e-12;1.38977e-12;4.07145e-13;4.87014e-14;3.59908e-14,0.132717;0.160487;0.164576;0.169146;0.17422;0.17982;0.185959;0.192649;0.199893;0.20769;0.216034;0.224913;0.234313;0.244218;0.25461;0.265468;0.276772;0.288501;0.300631;0.313133;0.325977;0.339129;0.35255;0.366198;0.380025;0.393982;0.408015;0.422067;0.436077;0.449984;0.463721;0.477222;0.490418;0.503238;0.515612;0.527467;0.538732;0.549338;0.559212;0.568288;0.576499;0.583781;0.590073;0.595317;0.59946;0.602451;0.604244;0.604798;0.604075;0.602042;0.59867;0.593933;0.587807;0.58027;0.571302;0.560883;0.548988;0.535596;0.520678;0.504206;0.486149;0.466481;0.445181;0.422247;0.397708;0.371637;0.34418;0.315572;0.286162;0.256423;0.226951;0.198429;0.171567;0.147011;0.125249;0.10653;0.0908439;0.0779522;0.0674711;0.0589618;0.0520049;0.0462427;0.0413922;0.0372411;0.0336345;0.030461;0.0276406;0.0251151;0.0228412;0.020786;0.0189256;0.017233;0.0156934;0.0142972;0.0130288;0.0118674;0.0107322;0.00924913;0.00178697;0.00695249,-0.000681968;-0.000801503;-0.000938864;-0.00109547;-0.00127253;-0.00147101;-0.00169155;-0.00193446;-0.00219972;-0.00248698;-0.00279565;-0.00312491;-0.00347368;-0.00384061;-0.00422393;-0.00462126;-0.00502942;-0.00544432;-0.00586083;-0.00627287;-0.00667349;-0.0070551;-0.00740963;-0.00772884;-0.00800448;-0.00822859;-0.00839376;-0.0084934;-0.00852204;-0.00847555;-0.00835141;-0.00814888;-0.0078691;-0.00751519;-0.00709219;-0.006607;-0.00606818;-0.00548575;-0.00487083;-0.00423531;-0.00359146;-0.00295151;-0.00232723;-0.00172955;-0.00116824;-0.000651574;-0.000186132;0.000223323;0.000573917;0.000864621;0.00109614;0.00127074;0.00139198;0.00146447;0.00149356;0.00148503;0.0014448;0.00137872;0.0012923;0.00119064;0.00107831;0.000959329;0.000837252;0.000715249;0.000596237;0.00048299;0.000378198;0.000284409;0.000203832;0.00013801;8.74503e-05;5.1369e-05;2.7735e-05;1.36788e-05;6.14759e-06;2.52401e-06;9.54096e-07;3.36159e-07;1.12057e-07;3.58831e-08;1.11871e-08;3.43045e-09;1.04166e-09;3.14416e-10;9.45028e-11;2.82993e-11;8.4422e-12;2.50801e-12;7.41653e-13;2.17957e-13;6.39207e-14;1.86215e-14;5.3764e-15;1.54503e-15;4.43587e-16;1.32089e-16;4.63692e-17;2.19439e-17;-2.50928e-18;0
2000,0.139436,0.0170491;0.0180727;0.0191917;0.0204121;0.0217407;0.0231854;0.0247551;0.0264599;0.0283116;0.0303234;0.0325106;0.0348906;0.0374828;0.0403096;0.0433961;0.0467704;0.050464;0.0545124;0.0589544;0.0638336;0.0691977;0.0750991;0.0815954;0.0887495;0.09663;0.105312;0.114877;0.125414;0.137021;0.149804;0.163878;0.179371;0.196422;0.215182;0.235817;0.258508;0.283456;0.310878;0.341013;0.374123;0.410496;0.450448;0.494322;0.5425;0.595397;0.65347;0.71722;0.787197;0.864005;0.948305;1.04083;1.14236;1.25379;1.37608;1.51027;1.65753;1.81912;1.99643;2.191;2.40449;2.63875;2.89578;3.1778;3.48722;3.82668;4.19908;4.60759;5.05565;5.54701;6.08574;6.67624;7.32321;8.03167;8.80691;9.65452;10.5804;11.5909;12.6931;13.8948;15.2051;16.6341;18.1933;19.8954;21.7543;23.7853;26.0048;28.4311;31.0838;33.9843;37.1559;40.6253;44.4193;48.5672;53.103;58.0651;63.5128;69.6144;77.0191;91.1163;100,215.89;191.937;189.152;185.966;182.357;178.307;173.805;168.844;163.428;157.567;151.285;144.613;137.595;130.285;122.748;115.054;107.282;99.5111;91.8222;84.2915;76.9891;69.9762;63.3034;57.0094;51.1213;45.6548;40.6153;35.9995;31.797;27.9919;24.5639;21.49;18.7457;16.3055;14.1438;12.2357;10.5571;9.085;7.79803;6.6762;5.70111;4.85595;4.1254;3.49566;2.95428;2.49011;2.09324;1.75481;1.46703;1.22299;1.01663;0.842622;0.696323;0.57368;0.471172;0.385753;0.314789;0.256015;0.207488;0.167545;0.134769;0.107957;0.0860881;0.0683038;0.0538815;0.0422166;0.0328063;0.0252344;0.0191599;0.0143061;0.0104518;0.00742322;0.00508458;0.00332807;0.00206177;0.00119847;0.00064965;0.000327649;0.000154084;6.79765e-05;2.83743e-05;1.13124e-05;4.34678e-06;1.62236e-06;5.91881e-07;2.12097e-07;7.4922e-08;2.61573e-08;9.04244e-09;3.09921e-09;1.05379e-09;3.55831e-10;1.19379e-10;3.97903e-11;1.31783e-11;4.3279e-12;1.38976e-12;4.07139e-13;4.87021e-14;3.59908e-14,0.209405;0.221959;0.223569;0.225438;0.227596;0.230073;0.232903;0.23612;0.239762;0.243867;0.248472;0.253616;0.259336;0.265667;0.272638;0.280274;0.288593;0.297602;0.307298;0.317665;0.328677;0.340292;0.352459;0.365115;0.378191;0.391609;0.405288;0.419143;0.433088;0.447035;0.460897;0.474585;0.488014;0.501096;0.513746;0.525883;0.537424;0.548292;0.558411;0.567709;0.576117;0.583571;0.590008;0.595373;0.599612;0.602677;0.604525;0.605116;0.604415;0.602392;0.599019;0.594272;0.58813;0.580573;0.571582;0.561137;0.549217;0.535799;0.520856;0.504361;0.486283;0.466595;0.445278;0.422328;0.397775;0.371692;0.344224;0.315607;0.286189;0.256444;0.226966;0.19844;0.171574;0.147015;0.125251;0.106531;0.0908442;0.0779522;0.0674708;0.0589614;0.0520046;0.0462423;0.0413919;0.0372408;0.0336342;0.0304608;0.0276405;0.025115;0.0228411;0.0207859;0.0189255;0.0172329;0.0156934;0.0142971;0.0130288;0.0118673;0.0107321;0.00924904;0.00178699;0.00695249,-0.000363651;-0.00043483;-0.000519596;-0.000620122;-0.000738791;-0.000878176;-0.00104099;-0.00123002;-0.00144801;-0.00169754;-0.00198084;-0.00229957;-0.00265455;-0.00304554;-0.00347092;-0.00392751;-0.00441033;-0.00491263;-0.0054259;-0.00594015;-0.00644434;-0.00692681;-0.00737592;-0.00778048;-0.00813023;-0.00841606;-0.00863021;-0.00876631;-0.00881955;-0.00878669;-0.00866631;-0.00845888;-0.00816691;-0.00779493;-0.00734943;-0.00683873;-0.00627274;-0.00566265;-0.00502061;-0.00435935;-0.00369177;-0.00303053;-0.00238765;-0.00177415;-0.00119973;-0.00067251;-0.000198846;0.000216792;0.000571836;0.000865566;0.00109898;0.00127461;0.00139626;0.00146872;0.00149751;0.00148852;0.00144776;0.00138114;0.00129423;0.00119213;0.00107943;0.000960145;0.000837832;0.00071565;0.000596505;0.000483164;0.000378307;0.000284475;0.00020387;0.000138031;8.74609e-05;5.13739e-05;2.7737e-05;1.36795e-05;6.14779e-06;2.52405e-06;9.541e-07;3.36157e-07;1.12055e-07;3.58825e-08;1.11868e-08;3.43037e-09;1.04164e-09;3.14408e-10;9.45005e-11;2.82986e-11;8.44201e-12;2.50795e-12;7.41638e-13;2.17952e-13;6.39195e-14;1.86212e-14;5.37631e-15;1.545e-15;4.43581e-16;1.32087e-16;4.63695e-17;2.19433e-17;-2.50932e-18;0
3000,0.382659,0.0212756;0.0224766;0.023788;0.0252141;0.0267611;0.0284349;0.0302424;0.0321914;0.034291;0.0365511;0.0389833;0.0416005;0.0444176;0.0474515;0.0507215;0.0542494;0.0580604;0.0621831;0.0666501;0.0714989;0.0767719;0.0825179;0.0887918;0.0956562;0.103182;0.111447;0.120541;0.13056;0.141614;0.15382;0.167305;0.182209;0.198682;0.216884;0.23699;0.259188;0.28368;0.310688;0.340452;0.373234;0.409322;0.449028;0.492698;0.540708;0.593472;0.651444;0.715124;0.785058;0.861847;0.946151;1.03869;1.14027;1.25176;1.37411;1.50837;1.65571;1.81739;1.9948;2.18947;2.40307;2.63743;2.89457;3.1767;3.48623;3.8258;4.19832;4.60693;5.0551;5.54657;6.08541;6.67601;7.32308;8.03162;8.80694;9.65461;10.5805;11.5911;12.6933;13.895;15.2053;16.6344;18.1936;19.8957;21.7546;23.7856;26.0052;28.4315;31.0842;33.9847;37.1563;40.6257;44.4197;48.5676;53.1034;58.0655;63.5133;69.6149;77.0198;91.1163;100,111.06;105.378;104.683;103.923;102.993;101.944;100.735;99.3626;97.8127;96.074;94.1357;91.9884;89.6241;87.0377;84.2267;81.1923;77.9403;74.4811;70.831;67.0118;63.0512;58.983;54.8457;50.6822;46.5376;42.4584;38.4895;34.6727;31.0445;27.6345;24.4643;21.5473;18.8887;16.4866;14.333;12.4152;10.7179;9.22336;7.91362;6.77054;5.77666;4.91547;4.17164;3.53112;2.98116;2.51027;2.1082;1.76582;1.47505;1.22878;1.02077;0.845562;0.698391;0.575122;0.472169;0.386435;0.315251;0.256325;0.207693;0.167679;0.134855;0.10801;0.0861203;0.0683224;0.0538914;0.0422213;0.0328079;0.0252344;0.0191591;0.0143051;0.0104509;0.00742252;0.00508408;0.00332776;0.00206159;0.00119838;0.000649604;0.000327628;0.000154076;6.7973e-05;2.83729e-05;1.13119e-05;4.34661e-06;1.6223e-06;5.9186e-07;2.1209e-07;7.49197e-08;2.61565e-08;9.04219e-09;3.09913e-09;1.05376e-09;3.55823e-10;1.19377e-10;3.97895e-11;1.3178e-11;4.32782e-12;1.38973e-12;4.0712e-13;4.87042e-14;3.59908e-14,0.289673;0.294809;0.295516;0.29619;0.297113;0.298119;0.299311;0.30068;0.302254;0.304056;0.306113;0.308454;0.31111;0.314116;0.31751;0.321333;0.325627;0.330438;0.335812;0.341797;0.348438;0.355778;0.363853;0.372689;0.3823;0.392682;0.403809;0.415631;0.428069;0.441018;0.454347;0.467905;0.481531;0.495056;0.508316;0.521159;0.533445;0.545052;0.555874;0.565816;0.574799;0.582752;0.589612;0.595325;0.599843;0.603124;0.605131;0.605832;0.6052;0.603209;0.599841;0.595077;0.5889;0.581297;0.572251;0.561747;0.549765;0.536286;0.521285;0.504734;0.486604;0.466868;0.445508;0.422521;0.397934;0.371822;0.344329;0.31569;0.286253;0.256492;0.227001;0.198464;0.171589;0.147025;0.125256;0.106533;0.0908445;0.0779516;0.0674699;0.0589604;0.0520035;0.0462414;0.041391;0.03724;0.0336335;0.0304602;0.0276399;0.0251145;0.0228407;0.0207855;0.0189252;0.0172326;0.0156931;0.0142969;0.0130286;0.0118672;0.010732;0.00924876;0.00178704;0.00695249,-0.000159965;-0.000216795;-0.000211757;-0.00029903;-0.000337372;-0.000415684;-0.000497076;-0.000597179;-0.000714836;-0.000853661;-0.00101654;-0.00120676;-0.00142772;-0.00168287;-0.00197555;-0.00230878;-0.00268502;-0.00310575;-0.0035711;-0.00407936;-0.0046264;-0.00520519;-0.00580525;-0.00641245;-0.00700894;-0.00757358;-0.00808293;-0.00851278;-0.00884018;-0.00904581;-0.00911614;-0.00904502;-0.00883434;-0.00849342;-0.00803746;-0.00748536;-0.00685765;-0.00617483;-0.00545638;-0.0047203;-0.00398299;-0.0032592;-0.002562;-0.00190267;-0.00129067;-0.000733494;-0.000236676;0.000196255;0.000563694;0.000865856;0.0011046;0.00128321;0.00140614;0.00147872;0.00150688;0.00149684;0.00145484;0.00138696;0.00129885;0.0011957;0.0010821;0.000962097;0.000839214;0.0007166;0.000597139;0.000483574;0.000378563;0.000284629;0.000203958;0.000138079;8.74848e-05;5.13847e-05;2.77413e-05;1.36809e-05;6.14817e-06;2.52412e-06;9.54095e-07;3.36147e-07;1.1205e-07;3.58803e-08;1.11861e-08;3.43013e-09;1.04156e-09;3.14385e-10;9.44938e-11;2.82967e-11;8.44145e-12;2.5078e-12;7.41593e-13;2.1794e-13;6.39161e-14;1.86202e-14;5.37606e-15;1.54494e-15;4.43565e-16;1.32084e-16;4.63704e-17;2.19417e-17;-2.50945e-18;0
4000,0.659649,0.023768;0.0250896;0.0265321;0.0280998;0.0297989;0.0316347;0.0336138;0.0357434;0.0380318;0.0404882;0.0431229;0.0459476;0.0489754;0.0522212;0.0557018;0.0594362;0.063446;0.0677557;0.0723934;0.077391;0.082785;0.0886174;0.0949363;0.101797;0.109262;0.117404;0.126305;0.136061;0.146776;0.158572;0.171582;0.185955;0.201853;0.219455;0.238952;0.260549;0.284466;0.310936;0.340209;0.372554;0.408259;0.447638;0.491034;0.53882;0.591407;0.649246;0.71283;0.782703;0.859462;0.943763;1.03633;1.13795;1.24949;1.37191;1.50626;1.6537;1.81548;1.993;2.18778;2.4015;2.63598;2.89324;3.17549;3.48514;3.82484;4.19748;4.60623;5.05453;5.54612;6.08508;6.6758;7.32297;8.03161;8.80702;9.65476;10.5808;11.5914;12.6936;13.8954;15.2057;16.6348;18.194;19.8961;21.7551;23.786;26.0057;28.432;31.0846;33.9852;37.1568;40.6262;44.4203;48.5682;53.104;58.0661;63.5139;69.6156;77.0208;91.1163;100,79.6503;76.7793;76.424;76.0412;75.5636;75.0251;74.399;73.6844;72.8712;71.9518;70.9178;69.7609;68.4732;67.0471;65.4759;63.754;61.8772;59.8434;57.6527;55.3082;52.8163;50.1871;47.435;44.5784;41.6403;38.6475;35.6305;32.6222;29.657;26.7694;23.992;21.3541;18.8802;16.5885;14.4908;12.5917;10.8899;9.37838;8.0463;6.88007;5.8647;4.9848;4.22535;3.57217;3.01215;2.53342;2.12532;1.77836;1.48415;1.23533;1.02545;0.848869;0.700711;0.576735;0.473281;0.387194;0.315764;0.256667;0.207919;0.167825;0.134948;0.108067;0.0861546;0.0683418;0.0539014;0.0422257;0.0328091;0.0252339;0.019158;0.0143038;0.0104498;0.00742161;0.00508345;0.00332736;0.00206136;0.00119826;0.000649545;0.000327602;0.000154064;6.79684e-05;2.83712e-05;1.13113e-05;4.34638e-06;1.62222e-06;5.91833e-07;2.12081e-07;7.49167e-08;2.61556e-08;9.04187e-09;3.09903e-09;1.05373e-09;3.55813e-10;1.19373e-10;3.97884e-11;1.31777e-11;4.32771e-12;1.38969e-12;4.07097e-13;4.87069e-14;3.59908e-14,0.333648;0.336823;0.337284;0.33767;0.338256;0.338872;0.339614;0.340465;0.341447;0.342573;0.343862;0.345333;0.347007;0.348909;0.351064;0.353503;0.356259;0.359366;0.362864;0.366795;0.371206;0.376143;0.381657;0.387799;0.394618;0.402159;0.410461;0.419548;0.429429;0.440089;0.451482;0.463526;0.476102;0.489051;0.502179;0.515268;0.528092;0.540426;0.552068;0.562844;0.572613;0.58127;0.588733;0.594946;0.599864;0.603453;0.605689;0.60655;0.60602;0.604085;0.600735;0.59596;0.589751;0.582099;0.572994;0.562424;0.550375;0.536828;0.521761;0.505147;0.486959;0.467171;0.445763;0.422734;0.39811;0.371966;0.344445;0.315781;0.286323;0.256544;0.227038;0.198489;0.171605;0.147034;0.12526;0.106535;0.0908443;0.0779505;0.0674684;0.0589588;0.052002;0.04624;0.0413898;0.037239;0.0336326;0.0304594;0.0276392;0.0251139;0.0228401;0.0207851;0.0189248;0.0172323;0.0156929;0.0142967;0.0130284;0.011867;0.0107318;0.0092484;0.00178711;0.00695249,-9.93171e-05;-0.000144152;-0.000123393;-0.000193488;-0.000210265;-0.000263455;-0.000314971;-0.000379957;-0.000456488;-0.000547445;-0.000654979;-0.000781683;-0.000930382;-0.00110414;-0.00130623;-0.00154003;-0.00180893;-0.0021162;-0.00246471;-0.0028567;-0.00329336;-0.00377441;-0.00429753;-0.00485773;-0.00544673;-0.00605236;-0.00665808;-0.00724282;-0.00778133;-0.00824522;-0.00860478;-0.00883179;-0.00890286;-0.00880305;-0.00852881;-0.00808945;-0.00750644;-0.00681054;-0.00603723;-0.00522202;-0.00439653;-0.00358658;-0.00281179;-0.00208646;-0.00142062;-0.000821035;-0.000291874;0.000164909;0.000549281;0.000862904;0.00110891;0.00129168;0.00141654;0.00148954;0.00151716;0.00150603;0.0014627;0.00139341;0.00130399;0.00119966;0.00108507;0.000964254;0.000840737;0.000717644;0.000597832;0.000484019;0.000378839;0.000284793;0.000204051;0.000138128;8.75093e-05;5.13956e-05;2.77455e-05;1.36823e-05;6.14847e-06;2.52413e-06;9.54069e-07;3.36129e-07;1.12042e-07;3.58773e-08;1.1185e-08;3.4298e-09;1.04146e-09;3.14355e-10;9.44849e-11;2.82941e-11;8.44072e-12;2.50759e-12;7.41535e-13;2.17924e-13;6.39116e-14;1.8619e-14;5.37572e-15;1.54485e-15;4.43543e-16;1.32081e-16;4.63715e-17;2.19395e-17;-2.50962e-18;0
5000,1.00965,0.0257907;0.0272138;0.0287667;0.0304538;0.0322818;0.0342554;0.0363812;0.0386662;0.0411184;0.0437466;0.0465606;0.0495716;0.0527918;0.056235;0.0599168;0.0638546;0.068068;0.0725793;0.0774134;0.082599;0.0881686;0.0941591;0.100613;0.107579;0.115114;0.123281;0.132155;0.141822;0.152379;0.163939;0.176632;0.190603;0.206016;0.223058;0.24193;0.262858;0.286081;0.311858;0.340464;0.372186;0.40733;0.446221;0.489203;0.536651;0.58897;0.646605;0.710043;0.77982;0.856528;0.940816;1.0334;1.13507;1.24668;1.36919;1.50365;1.65121;1.81312;1.99077;2.1857;2.39956;2.63419;2.89161;3.17401;3.48382;3.82368;4.19648;4.60539;5.05385;5.5456;6.08472;6.67558;7.32289;8.03166;8.80717;9.65501;10.5811;11.5918;12.694;13.8959;15.2062;16.6353;18.1946;19.8967;21.7557;23.7867;26.0063;28.4326;31.0853;33.9859;37.1576;40.627;44.421;48.569;53.1048;58.0669;63.5148;69.6165;77.0221;91.1163;100,62.3383;60.571;60.353;60.1163;59.8213;59.4873;59.0981;58.6524;58.1437;57.5664;56.9145;56.1818;55.3621;54.4491;53.4368;52.3193;51.0914;49.7486;48.2874;46.7059;45.0036;43.1822;41.2458;39.2013;37.0588;34.8315;32.5359;30.1921;27.8229;25.4538;23.1118;20.8246;18.6192;16.5205;14.55;12.7246;11.0558;9.54924;8.2048;7.01744;5.97816;5.07529;4.29567;3.62577;3.05242;2.56332;2.1473;1.79437;1.49572;1.24362;1.03133;0.853018;0.703611;0.578745;0.474662;0.388134;0.316397;0.257088;0.208195;0.168003;0.13506;0.108136;0.0861952;0.0683643;0.0539127;0.0422302;0.0328098;0.0252328;0.0191561;0.0143019;0.0104481;0.00742034;0.00508258;0.00332681;0.00206105;0.00119809;0.000649464;0.000327564;0.000154049;6.79621e-05;2.83687e-05;1.13104e-05;4.34606e-06;1.62211e-06;5.91795e-07;2.12068e-07;7.49125e-08;2.61542e-08;9.04142e-09;3.09889e-09;1.05368e-09;3.55798e-10;1.19369e-10;3.9787e-11;1.31773e-11;4.32756e-12;1.38963e-12;4.07063e-13;4.87108e-14;3.59908e-14,0.367276;0.369459;0.369783;0.370038;0.370446;0.370867;0.371378;0.371963;0.372639;0.373415;0.374305;0.37532;0.376476;0.377791;0.379284;0.380975;0.382889;0.385051;0.387492;0.390243;0.393342;0.396827;0.400742;0.405133;0.41005;0.415545;0.42167;0.428476;0.436011;0.444311;0.453399;0.463277;0.473916;0.485249;0.497162;0.509494;0.522032;0.534524;0.546693;0.558256;0.568954;0.578568;0.586929;0.593924;0.599485;0.603577;0.606187;0.607312;0.606955;0.605121;0.601814;0.597038;0.590796;0.583089;0.573913;0.563264;0.551131;0.5375;0.52235;0.505659;0.487399;0.467545;0.446078;0.422996;0.398326;0.372141;0.344585;0.315892;0.286408;0.256607;0.227083;0.198519;0.171624;0.147044;0.125265;0.106536;0.0908434;0.0779486;0.0674662;0.0589565;0.0519999;0.046238;0.0413881;0.0372374;0.0336313;0.0304582;0.0276382;0.025113;0.0228394;0.0207844;0.0189243;0.0172318;0.0156925;0.0142963;0.0130281;0.0118667;0.0107315;0.00924789;0.0017872;0.00695248,-6.75798e-05;-0.000101225;-8.12985e-05;-0.000134222;-0.000143321;-0.000181008;-0.000216373;-0.000261515;-0.000314724;-0.000378176;-0.000453456;-0.000542525;-0.000647556;-0.000770972;-0.000915431;-0.00108381;-0.00127916;-0.00150466;-0.00176347;-0.00205865;-0.0023929;-0.00276832;-0.00318608;-0.00364594;-0.00414577;-0.0046809;-0.00524352;-0.00582193;-0.0064;-0.00695684;-0.00746681;-0.00790034;-0.00822553;-0.00841091;-0.00842918;-0.00826171;-0.00790276;-0.00736251;-0.00666744;-0.00585745;-0.00498;-0.00408279;-0.0032071;-0.00238388;-0.00163294;-0.000964805;-0.000383399;0.000111479;0.000522519;0.000853991;0.00111127;0.00130054;0.00142859;0.00150255;0.00152974;0.00151737;0.00147242;0.00140142;0.00131036;0.00120457;0.00108874;0.000966915;0.00084261;0.000718921;0.000598676;0.000484558;0.00037917;0.000284988;0.000204161;0.000138186;8.75374e-05;5.14077e-05;2.775e-05;1.36835e-05;6.14868e-06;2.52409e-06;9.54014e-07;3.36099e-07;1.12029e-07;3.58727e-08;1.11835e-08;3.42931e-09;1.04131e-09;3.14312e-10;9.44722e-11;2.82905e-11;8.43967e-12;2.50729e-12;7.41453e-13;2.17901e-13;6.39053e-14;1.86173e-14;5.37525e-15;1.54472e-15;4.43512e-16;1.32075e-16;4.63731e-17;2.19365e-17;-2.50985e-18;0
6000,1.48521,0.0276514;0.0291696;0.0308258;0.032625;0.0345741;0.0366775;0.0389418;0.0413739;0.0439818;0.046774;0.0497603;0.0529512;0.0563588;0.0599962;0.0638781;0.0680211;0.0724434;0.0771658;0.0822113;0.0876062;0.09338;0.0995663;0.106203;0.113335;0.121011;0.12929;0.138236;0.147929;0.158454;0.169916;0.182432;0.196138;0.211192;0.227771;0.246079;0.266344;0.288822;0.31379;0.34155;0.372425;0.406755;0.444894;0.487213;0.5341;0.585966;0.643251;0.706436;0.776044;0.852654;0.936906;1.0295;1.13123;1.24293;1.36557;1.50017;1.64788;1.80997;1.98781;2.18293;2.39699;2.63183;2.88946;3.17207;3.4821;3.82217;4.19519;4.60432;5.05299;5.54496;6.08429;6.67535;7.32285;8.03179;8.80745;9.65541;10.5816;11.5923;12.6947;13.8966;15.207;16.6361;18.1954;19.8976;21.7566;23.7876;26.0073;28.4336;31.0864;33.9869;37.1587;40.6281;44.4222;48.5702;53.106;58.0682;63.5161;69.618;77.0241;91.1163;100,50.579;49.3961;49.2551;49.0919;48.8971;48.6718;48.4105;48.1103;47.7671;47.3767;46.9348;46.4368;45.878;45.2535;44.5582;43.7875;42.9364;42.0005;40.9759;39.859;38.6474;37.3397;35.9357;34.4372;32.8476;31.1727;29.4207;27.6024;25.7314;23.8237;21.8981;19.975;18.0765;16.2254;14.4437;12.7521;11.1685;9.70703;8.37718;7.18349;6.12554;5.19854;4.3942;3.70188;3.10973;2.60568;2.1782;1.81669;1.51171;1.25499;1.03937;0.85865;0.70753;0.581449;0.476512;0.389388;0.317238;0.257646;0.208559;0.168236;0.135206;0.108225;0.086247;0.0683924;0.0539262;0.0422351;0.0328099;0.0252306;0.0191531;0.0142989;0.0104456;0.00741848;0.0050813;0.00332601;0.00206058;0.00119785;0.000649343;0.00032751;0.000154025;6.79526e-05;2.83651e-05;1.13091e-05;4.34558e-06;1.62194e-06;5.91738e-07;2.12049e-07;7.49061e-08;2.61521e-08;9.04075e-09;3.09867e-09;1.05361e-09;3.55776e-10;1.19362e-10;3.97848e-11;1.31766e-11;4.32734e-12;1.38955e-12;4.07012e-13;4.87166e-14;3.59908e-14,0.3967;0.398264;0.398466;0.398676;0.398948;0.399254;0.399614;0.400031;0.400511;0.401063;0.401696;0.402418;0.403241;0.404177;0.405239;0.406444;0.407808;0.409349;0.411091;0.413057;0.415274;0.417773;0.420586;0.423751;0.427309;0.431305;0.435786;0.440805;0.446414;0.452666;0.459613;0.467295;0.475745;0.484971;0.494954;0.505631;0.51689;0.528561;0.540411;0.552153;0.563463;0.574004;0.583465;0.591588;0.598186;0.603151;0.606442;0.608061;0.608036;0.606403;0.603197;0.598447;0.592178;0.584405;0.575139;0.564386;0.552141;0.538397;0.523137;0.506341;0.487984;0.468041;0.446495;0.423343;0.398611;0.372372;0.34477;0.316036;0.286519;0.256689;0.227141;0.198557;0.171647;0.147056;0.12527;0.106536;0.0908412;0.0779453;0.0674625;0.0589529;0.0519965;0.046235;0.0413854;0.0372351;0.0336293;0.0304565;0.0276367;0.0251118;0.0228383;0.0207835;0.0189235;0.0172311;0.0156919;0.0142958;0.0130276;0.0118663;0.0107311;0.00924713;0.00178735;0.00695248,-4.76124e-05;-6.23304e-05;-6.6209e-05;-8.85884e-05;-0.000102976;-0.000126443;-0.000152356;-0.000184055;-0.00022179;-0.00026681;-0.000320348;-0.000383848;-0.000458942;-0.000547474;-0.0006515;-0.000773291;-0.000915325;-0.00108026;-0.0012709;-0.00149013;-0.00174077;-0.00202552;-0.00234668;-0.00270594;-0.00310405;-0.00354039;-0.00401247;-0.00451534;-0.00504098;-0.00557761;-0.00610907;-0.00661447;-0.00706817;-0.00744039;-0.00769885;-0.00781143;-0.00775022;-0.00749641;-0.00704533;-0.00641034;-0.00562382;-0.00473414;-0.00379855;-0.00287363;-0.00200631;-0.0012284;-0.000555896;7.83718e-06;0.000467333;0.000830939;0.00110829;0.00130917;0.00144309;0.0015192;0.00154624;0.00153242;0.00148539;0.00141213;0.00131887;0.00121112;0.00109363;0.000970449;0.000845088;0.000720605;0.000599782;0.000485259;0.000379598;0.000285239;0.0002043;0.000138259;8.75717e-05;5.14221e-05;2.7755e-05;1.36848e-05;6.14875e-06;2.52395e-06;9.53909e-07;3.36048e-07;1.12009e-07;3.58656e-08;1.11812e-08;3.42858e-09;1.04109e-09;3.14246e-10;9.4453e-11;2.8285e-11;8.43811e-12;2.50685e-12;7.41329e-13;2.17867e-13;6.38958e-14;1.86147e-14;5.37455e-15;1.54454e-15;4.43466e-16;1.32067e-16;4.63754e-17;2.1932e-17;-2.51021e-18;0
